Comment,Designator,Footprint,LCSC
1k,"R3,R4,R5",R_0402_1005Metric,C11702
500mA,F1,Fuse_1206_3216Metric,C151162
22pF,"C2,C3",C_0402_1005Metric,C1555
SM04B-SRSS-TB,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
4.7uF,C9,C_0402_1005Metric,C23733
27,"R1,R2",R_0603_1608Metric,C25190
100nF,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C7,C8",C_0402_1005Metric,C307331
SW_Push,SW85,SW_SPST_SKQG_WithStem,C318884
SK6812 Mini-E,LED1,LED_MX_6028R,C524051
1uF,"C10,C4,C5,C6",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D33,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D49,D5,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D68,D7,D70,D72,D74,D77,D79,D8,D80,D82,D83,D84,D9",D_SOD-123,C81598
SRV05,U4,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
