"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C15,C14,C1,C16,C8,C11,C12,C7,C17,C18,C13";"C_0402_1005Metric";11;"100nF";;;
2;"D29,D56,D40,D14,D39,D49,D43,D84,D52,D77,D1,D70,D24,D68,D72,D33,D18,D38,D35,D51,D37,D30,D46,D7,D58,D82,D27,D80,D5,D64,D61,D11,D54,D21,D15,D65,D62,D2,D22,D28,D59,D8,D25,D4,D41,D74,D57,D26,D55,D44,D16,D19,D36,D12,D10,D9,D83,D20,D31,D13,D63,D42,D45,D3,D53,D66,D47,D60,D23,D6,D79";"D_SOD-123";71;"1N4148";;;
3;"C5,C6,C10,C4";"C_0402_1005Metric";4;"1uF";;;
4;"R2,R1";"R_0402_1005Metric";2;"27";;;
5;"LED1";"LED_MX_6028R";1;"WS2812B";;;
6;"SW85";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
7;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
8;"C3,C2";"C_0402_1005Metric";2;"22pF";;;
9;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
10;"R5,R3,R4";"R_0402_1005Metric";3;"1k";;;
11;"U3";"SOT-23";1;"XC6206PxxxMR";;;
12;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
13;"U4";"SOT-23-6-routable";1;"SRV05";;;
14;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"SM04B-SRSS-TB";;;
15;"C9";"C_0603_1608Metric";1;"10uF";;;
16;"F1";"Fuse_0805_2012Metric";1;"500mA";;;
